Day,Start Time,End Time,Division,Activity,Teams,Field,Volunteers
"Saturday","13:00","13:10","Standard Soccer","💬 4A1I Interview","4A1I","Interview Table A","Tessa"
"Saturday","13:25","13:45","Lightweight Soccer","⚽ Team Name vs Omni","Team Name vs Omni","Soccer Field 4","Malik; Emily (General Ref)"
"Saturday","13:25","13:45","Lightweight Soccer","⚽ Athena Robotics vs Tangent","Athena Robotics vs Tangent","Soccer Field 6","Zara; Jasper"
"Saturday","13:25","13:45","Open Soccer","⚽ Open Legends vs Devious Dogs","Open Legends vs Devious Dogs","Soccer Field 3","Rowan; Alice (Simon Open Ref)"
"Saturday","13:25","13:45","Open Soccer","⚽ Jeff Squad vs TS","Jeff Squad vs TS","Soccer Field 1","Bob (General Ref); John (Simon Open Ref)"
"Saturday","13:25","13:45","Open Soccer","⚽ The Dugongs vs Hyperbot","The Dugongs vs Hyperbot","Soccer Field 2","Aria; Charlie (General Ref)"
"Saturday","13:25","13:45","Standard Soccer","⚽ Bundy Botz vs Inspiration 1","Bundy Botz vs Inspiration 1","Soccer Field 7","Priya"
"Saturday","13:25","13:45","Standard Soccer","⚽ CubeBot vs TPS Soccerbots","CubeBot vs TPS Soccerbots","Soccer Field 10","Felix"
"Saturday","13:25","13:45","Standard Soccer","⚽ Yakult Academy vs SFX - SSR","Yakult Academy vs SFX - SSR","Soccer Field 9","Bianca"
"Saturday","13:25","13:45","Standard Soccer","⚽ KIC Potatoes vs Soccer Bots","KIC Potatoes vs Soccer Bots","Soccer Field 8","Sarah (Soccer Ref)"
"Saturday","13:25","13:45","Simple Simon Soccer","⚽ Brissie Bananas vs OSPS - Team Spider Bot","Brissie Bananas vs OSPS - Team Spider Bot","Soccer Field 11","David (Soccer Ref)"
"Saturday","13:25","13:45","Simple Simon Soccer","⚽ Ctrl-Alt-Defeat vs Brissie Ballers","Ctrl-Alt-Defeat vs Brissie Ballers","Soccer Field 12","Elena"
"Saturday","13:30","13:40","Standard Soccer","💬 Tech Support Interview","Tech Support","Interview Table A","Nolan"
"Saturday","13:30","13:40","Standard Soccer","💬 D D D Interview","D D D","Interview Table B","Tessa"
"Saturday","13:45","13:55","Open Soccer","💬 Typhoon Interview","Typhoon","Interview Table A","David (Soccer Ref); Rowan"
"Saturday","13:45","13:55","Standard Soccer","💬 TwoPowerSix Interview","TwoPowerSix","Interview Table C","Aria"
"Saturday","13:45","13:55","Standard Soccer","💬 AERYX Interview","AERYX","Interview Table B","Charlie (General Ref)"
"Saturday","13:50","14:10","Lightweight Soccer","⚽ Athena Robotics vs Omni","Athena Robotics vs Omni","Soccer Field 5","Felix; Elena"
"Saturday","13:50","14:10","Lightweight Soccer","⚽ Tangent vs Legacy","Tangent vs Legacy","Soccer Field 4","Emily (General Ref); Nolan"
"Saturday","13:50","14:10","Open Soccer","⚽ Battery Acid vs Open Legends","Battery Acid vs Open Legends","Soccer Field 1","Sarah (Soccer Ref); Tessa"
"Saturday","13:50","14:10","Open Soccer","⚽ Robohampsters vs TS","Robohampsters vs TS","Soccer Field 2","John (Simon Open Ref); Bob (General Ref)"
"Saturday","13:50","14:10","Standard Soccer","⚽ Sytar Soccer vs Bundy Botz","Sytar Soccer vs Bundy Botz","Soccer Field 9","Priya"
"Saturday","13:50","14:10","Standard Soccer","⚽ Invincible Warriors vs To Tall To Fall","Invincible Warriors vs To Tall To Fall","Soccer Field 8","Bianca"
"Saturday","13:50","14:10","Standard Soccer","⚽ KIC Potatoes vs SFX - SSR","KIC Potatoes vs SFX - SSR","Soccer Field 12","Jasper"
"Saturday","13:50","14:10","Simple Simon Soccer","⚽ Twinpwr vs Brissie Bananas","Twinpwr vs Brissie Bananas","Soccer Field 11","Malik"
"Saturday","14:00","14:10","Open Soccer","💬 Lotus Interview","Lotus","Interview Table B","Zara; Alice (Simon Open Ref)"
"Saturday","14:15","14:35","Lightweight Soccer","⚽ Flippant Potato vs Hyperion","Flippant Potato vs Hyperion","Soccer Field 6","Jasper; Tessa"
"Saturday","14:15","14:35","Lightweight Soccer","⚽ Team Name vs BundahBots","Team Name vs BundahBots","Soccer Field 4","Nolan; Alice (Simon Open Ref)"
"Saturday","14:15","14:35","Lightweight Soccer","⚽ Polynices Bot vs Trinity","Polynices Bot vs Trinity","Soccer Field 5","Zara; David (Soccer Ref)"
"Saturday","14:15","14:35","Open Soccer","⚽ Devious Dogs vs Typhoon","Devious Dogs vs Typhoon","Soccer Field 1","Bianca; Priya"
"Saturday","14:15","14:35","Open Soccer","⚽ Jeff Squad vs Aurora","Jeff Squad vs Aurora","Soccer Field 3","Aria; John (Simon Open Ref)"
"Saturday","14:15","14:35","Open Soccer","⚽ Tom and Gerry vs deepseeking attention","Tom and Gerry vs deepseeking attention","Soccer Field 2","Elena; Malik"
"Saturday","14:15","14:35","Standard Soccer","⚽ Yakult Academy vs AERYX","Yakult Academy vs AERYX","Soccer Field 10","Charlie (General Ref)"
"Saturday","14:15","14:35","Standard Soccer","⚽ ADVA vs TPS Soccerbots","ADVA vs TPS Soccerbots","Soccer Field 7","Sarah (Soccer Ref)"
"Saturday","14:15","14:35","Standard Soccer","⚽ Insert Name Here vs Soccer Bots","Insert Name Here vs Soccer Bots","Soccer Field 9","Bob (General Ref)"
"Saturday","14:15","14:25","Standard Soccer","💬 Ball Seekers Interview","Ball Seekers","Interview Table C","Felix"
"Saturday","14:15","14:35","Simple Simon Soccer","⚽ OSPS - Team Spider Bot vs Ctrl-Alt-Defeat","OSPS - Team Spider Bot vs Ctrl-Alt-Defeat","Soccer Field 12","Rowan"
"Saturday","14:40","15:00","Lightweight Soccer","⚽ C-A-R Go Vroom Vroom vs 80N35","C-A-R Go Vroom Vroom vs 80N35","Soccer Field 6","Alice (Simon Open Ref); Felix"
"Saturday","14:40","15:00","Open Soccer","⚽ Magic smoke vs Mechanical Ragebaiters","Magic smoke vs Mechanical Ragebaiters","Soccer Field 3","Nolan; David (Soccer Ref)"
"Saturday","14:40","15:00","Open Soccer","⚽ The Dugongs vs Entropy","The Dugongs vs Entropy","Soccer Field 2","Elena; Tessa"
"Saturday","14:40","15:00","Open Soccer","⚽ Lotus vs Hyperbot","Lotus vs Hyperbot","Soccer Field 1","Aria; Jasper"
"Saturday","14:40","15:00","Standard Soccer","⚽ CubeBot vs Inspiration 1","CubeBot vs Inspiration 1","Soccer Field 7","Bob (General Ref)"
"Saturday","14:40","15:00","Standard Soccer","⚽ 4A1I vs Ball Seekers","4A1I vs Ball Seekers","Soccer Field 9","Rowan"
"Saturday","14:40","15:00","Standard Soccer","⚽ Low taper fade vs D D D","Low taper fade vs D D D","Soccer Field 10","Malik"
"Saturday","14:40","15:00","Standard Soccer","⚽ Tech Support vs TwoPowerSix","Tech Support vs TwoPowerSix","Soccer Field 8","Zara"
"Saturday","14:40","15:00","Simple Simon Soccer","⚽ OSPS - Team Beetle Bot vs Brissie Ballers","OSPS - Team Beetle Bot vs Brissie Ballers","Soccer Field 11","Priya"
"Saturday","14:45","14:55","Standard Soccer","💬 ADVA Interview","ADVA","Interview Table B","Charlie (General Ref)"
"Saturday","14:45","14:55","Standard Soccer","💬 Soccer Bots Interview","Soccer Bots","Interview Table A","Sarah (Soccer Ref)"
"Saturday","14:45","14:55","Standard Soccer","💬 SFX - SSR Interview","SFX - SSR","Interview Table C","John (Simon Open Ref)"
"Saturday","15:00","15:10","Standard Soccer","💬 TPS Soccerbots Interview","TPS Soccerbots","Interview Table B","Elena"
